,Site_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,CA-Oas,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,,,,,,,,,
1,DE-Hai,2001.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2012.0,2014.0,2015.0,2017.0,,,,,,,,
2,DE-Lnf,2006.0,2012.0,,,,,,,,,,,,,,,,,
3,DK-Sor,2009.0,2010.0,2018.0,2019.0,,,,,,,,,,,,,,,
4,FR-Fon,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2018.0,2019.0,,,,,,,,,,
5,FR-Hes,2002.0,2003.0,2004.0,2005.0,2006.0,,,,,,,,,,,,,,
6,IT-Ro1,2003.0,2004.0,,,,,,,,,,,,,,,,,
7,IT-Ro2,2003.0,2004.0,,,,,,,,,,,,,,,,,
8,US-Ha1,2001.0,2003.0,2004.0,2006.0,2009.0,,,,,,,,,,,,,,
9,US-MMS,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
10,US-MOz,2005.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,,,,,,
11,US-Oho,2010.0,2011.0,2012.0,2013.0,,,,,,,,,,,,,,,
12,US-UMB,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,,,,,
13,US-UMd,2008.0,2009.0,2010.0,2011.0,2012.0,2014.0,,,,,,,,,,,,,
14,US-WCr,2001.0,2002.0,2003.0,2006.0,2011.0,2013.0,,,,,,,,,,,,,
